ID,Label,Type
"species:Centrorhynchus guira","Centrorhynchus guira","species"
"species:Tapanuli orangutan","Tapanuli orangutan","species"
"species:Ouranopithecus macedoniensis","Ouranopithecus macedoniensis","species"
"species:Camponotus tergestinus","Camponotus tergestinus","species"
"family:Cheylabididae","Cheylabididae","family"
"species:Cheylabis latus","Cheylabis latus","species"
"species:Amblyomma fuscum","Amblyomma fuscum","species"
"order:Rodentia","Rodentia","order"
"family:Dipodidae","Dipodidae","family"
"species:Naked mole-rat","Naked mole-rat","species"
"species:kodkod","kodkod","species"
"species:Bobcat","Bobcat","species"
"species:Amblyomma splendidum","Amblyomma splendidum","species"
"family:Laelapidae","Laelapidae","family"
"species:Dinogamasus tonkinensis","Dinogamasus tonkinensis","species"
"sub_type:General Mechanoreception","General Mechanoreception","sub_type"
"sub_type:General Chemoreception","General Chemoreception","sub_type"
"species:Burmaculex","Burmaculex","species"
"species:Haemaphysalis elliptica","Haemaphysalis elliptica","species"
"family:Syringophilidae","Syringophilidae","family"
"species:Neoaulobia mironovi","Neoaulobia mironovi","species"
"species:Chinese mountain cat","Chinese mountain cat","species"
"order:Diplostomida","Diplostomida","order"
"family:Strigeidae","Strigeidae","family"
"species:Strigea meridionalis","Strigea meridionalis","species"
"sub_type:General Photoreception","General Photoreception","sub_type"
"species:White-lipped pit viper","White-lipped pit viper","species"
"species:Barred honey buzzard","Barred honey buzzard","species"
"species:Palaeohierax gervaisii","Palaeohierax gervaisii","species"
"order:Charadriiformes","Charadriiformes","order"
"species:Arctic tern","Arctic tern","species"
"species:Pallas's cat","Pallas's cat","species"
"order:Peramelemorphia","Peramelemorphia","order"
"family:Peramelidae","Peramelidae","family"
"species:African bush elephant","African bush elephant","species"
"species:Straight-tusked elephant","Straight-tusked elephant","species"
"species:Anoiapithecus","Anoiapithecus","species"
"modality:Other","Other","modality"
"sub_type:Habitat Preference","Habitat Preference","sub_type"
"species:Amblyomma tholloni","Amblyomma tholloni","species"
"species:Moluccan goshawk","Moluccan goshawk","species"
"order:N/A","N/A","order"
"species:Palaeoloxodon recki","Palaeoloxodon recki","species"
"species:Demodex cyonis","Demodex cyonis","species"
"species:Lawrencipicobia poicephali","Lawrencipicobia poicephali","species"
"family:Ereynetidae","Ereynetidae","family"
"species:Psittaboydaia psittaculae","Psittaboydaia psittaculae","species"
"species:Human","Human","species"
"sub_type:General Cognition","General Cognition","sub_type"
"species:Cretan dwarf mammoth","Cretan dwarf mammoth","species"
"species:Haemaphysalis nepalensis","Haemaphysalis nepalensis","species"
"family:Pulicidae","Pulicidae","family"
"species:Dog flea","Dog flea","species"
"family:Varanidae","Varanidae","family"
"species:Komodo dragon","Komodo dragon","species"
"species:Accipitridae spec.","Accipitridae spec.","species"
"species:Felis irionwtensis","Felis irionwtensis","species"
"order:Unspecified","Unspecified","order"
"species:Ferrucyon","Ferrucyon","species"
"species:ocelot","ocelot","species"
"sub_type:General","General","sub_type"
"family:Pennatulidae","Pennatulidae","family"
"family:Diclybothriidae","Diclybothriidae","family"
"order:Diclybothriidea","Diclybothriidea","order"
"family:Lepidosirenidae","Lepidosirenidae","family"
"order:Not Available","Not Available","order"
"family:Asterinidae","Asterinidae","family"
"order:Valvatida","Valvatida","order"
"family:Trichomycteridae","Trichomycteridae","family"
"order:Siluriformes","Siluriformes","order"
"family:Monocotylidae","Monocotylidae","family"
"order:Monogenea","Monogenea","order"
"family:Rhadinorhynchidae","Rhadinorhynchidae","family"
"order:Echinorhynchida","Echinorhynchida","order"
"family:Microstomidae","Microstomidae","family"
"order:Macrostomida","Macrostomida","order"
"family:Caprellidae","Caprellidae","family"
"order:Amphipoda","Amphipoda","order"
"family:Liparidae","Liparidae","family"
"order:Scorpaeniformes","Scorpaeniformes","order"
"family:Limifossoridae","Limifossoridae","family"
"order:Chaetodermatida","Chaetodermatida","order"
"family:Merulinidae","Merulinidae","family"
"order:Scleractinia","Scleractinia","order"
"family:Yoldiidae","Yoldiidae","family"
"order:Nuculanida","Nuculanida","order"
"family:Atollidae","Atollidae","family"
"order:Coronatae","Coronatae","order"
